Date_ID,Minute,Hour,Day,Week,Month,Quarter,Year
85,39,12,9,50,10,4,2022
86,53,17,25,24,4,2,2019
87,15,11,20,13,7,3,2020
88,3,10,12,49,8,3,2022
89,31,21,3,18,8,3,2018
90,9,20,20,45,12,4,2021
91,3,2,10,15,5,2,2021
92,18,21,26,10,12,4,2021
93,12,14,30,42,3,1,2023
94,10,7,2,28,11,4,2018
95,51,20,16,3,6,2,2022
96,43,20,22,1,2,1,2018
97,57,0,16,40,9,3,2019
98,1,11,7,29,10,4,2019
99,16,12,24,10,8,3,2023
100,33,19,7,39,6,2,2021
101,19,13,26,18,1,1,2018
102,18,13,11,41,8,3,2020
103,12,17,15,45,8,3,2020
104,55,14,3,22,5,2,2023
105,35,22,26,35,11,4,2023
106,12,2,10,35,8,3,2019
107,51,21,3,33,3,1,2018
108,25,3,19,42,6,2,2020
109,28,3,2,33,5,2,2019
110,10,21,7,31,3,1,2022
111,52,18,1,23,10,4,2018
112,7,21,4,17,11,4,2019
113,9,23,26,11,10,4,2019
114,42,6,29,10,2,1,2021
115,9,3,15,28,8,3,2021
116,14,1,7,40,6,2,2020
117,57,18,5,25,2,1,2022
118,48,17,7,41,2,1,2019
119,11,5,30,5,3,1,2023
120,11,10,25,2,7,3,2019
121,28,10,17,49,5,2,2023
122,12,22,5,14,5,2,2019
123,0,21,17,33,2,1,2020
124,7,4,8,41,11,4,2021
125,44,4,4,31,1,1,2022
126,18,0,7,19,3,1,2022
127,10,11,21,44,5,2,2019
128,43,12,3,44,4,2,2019
129,8,7,26,41,10,4,2018
130,50,13,24,29,5,2,2020
131,3,11,9,17,8,3,2023
132,49,10,14,40,9,3,2018
133,39,9,29,30,11,4,2021
134,39,20,24,47,1,1,2018
135,57,2,12,36,10,4,2023
136,52,14,1,38,11,4,2021
137,36,14,12,6,9,3,2019
138,48,16,3,51,2,1,2020
139,52,7,27,39,3,1,2018
140,22,11,7,3,6,2,2018
141,40,5,17,6,4,2,2018
142,6,5,12,45,2,1,2018
143,53,9,4,10,2,1,2023
144,7,2,23,12,11,4,2020
145,26,11,3,18,2,1,2021
146,6,8,22,49,3,1,2018
147,45,3,18,9,10,4,2018
148,33,15,19,43,5,2,2018
149,54,18,18,22,11,4,2022
150,2,5,1,32,2,1,2018
151,26,1,20,25,7,3,2020
152,57,4,28,28,7,3,2023
153,5,18,7,35,1,1,2020
154,47,12,18,11,2,1,2020
155,28,21,15,12,5,2,2022
156,56,16,4,23,1,1,2019
157,10,11,23,16,4,2,2019
158,12,1,11,2,6,2,2022
159,14,8,5,45,1,1,2022
160,9,7,9,19,10,4,2020
161,9,18,15,25,7,3,2019
162,54,16,2,42,10,4,2022
163,12,18,24,31,12,4,2019
164,53,11,4,4,2,1,2020
165,42,22,18,6,7,3,2022
166,15,13,1,50,2,1,2021
167,24,0,5,17,12,4,2022
168,40,6,2,34,3,1,2023
169,4,8,13,21,6,2,2020
170,31,15,13,35,9,3,2023
171,47,7,12,37,11,4,2018
172,2,18,4,48,1,1,2021
173,21,15,30,2,7,3,2020
174,28,14,1,45,8,3,2018
175,24,8,3,36,5,2,2022
176,5,3,14,16,8,3,2023
177,41,3,19,33,4,2,2022
178,30,4,18,18,10,4,2022
179,40,17,5,39,2,1,2023
180,34,12,24,16,2,1,2019
181,55,22,21,51,7,3,2020
182,52,12,3,48,1,1,2023
183,48,16,18,21,11,4,2020
184,32,21,1,32,8,3,2020
185,46,0,9,26,11,4,2021
186,11,11,21,36,12,4,2018
187,57,3,10,22,5,2,2020
188,53,4,17,34,2,1,2019
189,15,7,6,45,8,3,2020
190,13,0,16,32,6,2,2022
191,1,2,3,8,5,2,2018
192,17,17,23,30,4,2,2020
193,40,1,12,5,11,4,2019
194,55,23,20,41,10,4,2020
195,4,16,18,19,2,1,2018
196,17,4,29,23,7,3,2018
197,19,2,8,39,10,4,2019
198,25,8,21,46,2,1,2022
199,17,9,21,3,2,1,2020
200,19,5,21,36,9,3,2022
201,1,6,18,40,8,3,2020
202,33,9,2,46,3,1,2018
203,1,20,2,9,2,1,2019
204,0,19,29,36,9,3,2020
205,10,12,10,47,8,3,2023
206,35,13,17,27,2,1,2021
207,6,8,20,19,7,3,2020
208,49,4,28,6,8,3,2022
209,14,17,8,26,6,2,2023
210,23,23,3,7,2,1,2022
211,33,14,5,22,2,1,2023
212,29,0,16,35,12,4,2023
213,13,2,25,44,11,4,2019
214,38,14,9,2,8,3,2023
215,47,12,29,3,7,3,2022
216,9,12,4,8,10,4,2018
217,6,15,24,36,2,1,2021
218,25,18,20,39,1,1,2023
219,6,15,4,4,9,3,2020
220,5,5,23,15,10,4,2018
221,32,0,18,17,8,3,2018
222,30,19,4,51,8,3,2020
223,16,23,1,34,7,3,2019
224,6,8,8,42,1,1,2021
225,47,14,14,50,8,3,2023
226,49,0,28,45,8,3,2019
227,21,5,23,13,1,1,2023
228,32,21,12,32,12,4,2019
229,37,5,20,26,7,3,2020
230,44,19,16,30,9,3,2020
231,34,15,7,5,4,2,2023
232,33,3,7,45,10,4,2019
233,12,11,9,17,1,1,2018
234,8,10,7,34,6,2,2022
235,20,2,19,8,1,1,2023
236,16,10,14,40,9,3,2019
237,41,12,12,17,8,3,2020
238,16,18,5,11,8,3,2023
239,47,5,22,15,8,3,2019
240,5,20,9,48,9,3,2021
241,51,4,4,24,7,3,2023
242,51,8,26,20,6,2,2023
243,22,9,23,43,6,2,2018
244,50,0,14,18,6,2,2020
245,3,12,25,3,3,1,2021
246,2,15,12,51,8,3,2020
247,46,10,18,22,1,1,2019
248,46,2,19,32,2,1,2023
249,11,13,27,49,3,1,2023
250,34,1,25,41,11,4,2021
251,57,4,7,15,4,2,2023
252,29,17,7,10,7,3,2021
253,57,13,23,5,6,2,2021
254,18,12,14,36,9,3,2023
255,34,21,1,26,2,1,2018
256,53,3,2,41,9,3,2021
257,34,18,9,15,3,1,2023
258,41,3,22,46,8,3,2023
259,1,18,4,25,5,2,2022
260,7,9,25,13,3,1,2021
261,52,20,7,32,6,2,2019
262,54,7,5,25,1,1,2019
263,25,14,22,39,10,4,2018
264,11,2,16,36,2,1,2021
265,25,19,18,24,11,4,2021
266,35,22,17,13,2,1,2018
267,9,7,10,49,6,2,2020
268,33,23,1,7,2,1,2023
269,33,19,12,23,3,1,2018
270,57,13,29,46,10,4,2020
271,37,18,17,11,9,3,2021
272,5,0,25,37,7,3,2022
273,44,19,20,7,4,2,2023
274,36,8,19,42,1,1,2020
275,12,12,26,11,6,2,2023
276,33,2,25,35,8,3,2020
277,23,20,30,42,9,3,2021
278,3,0,25,44,12,4,2020
279,26,6,29,3,6,2,2022
280,3,0,21,44,1,1,2019
281,51,15,24,7,1,1,2020
282,4,10,13,8,11,4,2018
283,50,12,7,44,5,2,2018
284,47,20,18,15,8,3,2018
285,50,10,10,4,2,1,2020
286,30,15,4,31,1,1,2018
287,38,4,5,35,6,2,2022
288,0,1,7,16,6,2,2020
289,10,12,5,23,1,1,2019
290,1,17,25,20,3,1,2020
291,1,13,21,44,10,4,2020
292,0,18,6,16,5,2,2020
293,8,18,28,34,11,4,2018
294,46,21,5,36,6,2,2018
295,21,17,11,43,7,3,2021
296,11,18,18,36,9,3,2022
297,21,21,14,48,3,1,2019
298,12,19,1,25,4,2,2023
299,36,7,14,37,2,1,2023
300,9,6,27,9,12,4,2022
301,30,9,6,24,5,2,2018
302,48,4,17,27,5,2,2023
303,3,22,2,20,8,3,2021
304,4,13,26,9,9,3,2020
305,59,7,4,8,10,4,2020
306,52,12,16,5,9,3,2021
307,57,15,11,33,10,4,2021
308,12,16,29,46,11,4,2019
309,45,4,25,25,1,1,2020
310,50,22,18,23,2,1,2018
311,49,20,16,44,6,2,2021
312,44,14,23,31,5,2,2022
313,56,7,30,6,10,4,2021
314,58,21,8,16,6,2,2018
315,22,2,24,14,4,2,2018
316,47,13,29,27,4,2,2023
317,24,16,22,4,11,4,2022
318,59,15,3,38,6,2,2020
319,24,4,27,25,3,1,2018
320,10,19,19,34,8,3,2020
321,2,22,8,13,2,1,2019
322,35,3,19,24,8,3,2019
323,18,4,5,3,11,4,2018
324,48,23,26,33,2,1,2020
325,33,1,5,15,1,1,2023
326,5,3,12,15,9,3,2023
327,11,11,26,40,11,4,2022
328,26,14,5,39,4,2,2019
329,10,1,12,9,9,3,2020
330,39,8,9,17,9,3,2022
331,56,19,14,49,2,1,2018
332,37,8,22,1,5,2,2020
333,26,2,8,43,2,1,2022
334,14,4,6,23,10,4,2021
335,48,10,1,45,1,1,2023
336,51,13,23,38,12,4,2019
337,41,21,23,38,4,2,2018
338,17,11,4,12,11,4,2021
339,15,6,22,2,6,2,2021
340,28,19,23,17,2,1,2019
341,31,13,9,50,1,1,2019
342,18,12,21,15,3,1,2022
343,40,16,22,17,12,4,2023
344,35,21,28,4,9,3,2021
345,8,20,23,9,6,2,2018
346,41,4,14,51,9,3,2018
347,39,3,29,48,1,1,2019
348,10,6,7,33,2,1,2018
349,50,18,6,8,3,1,2019
350,17,11,9,48,2,1,2019
351,35,4,7,25,4,2,2020
352,7,4,28,35,6,2,2018
353,8,18,16,13,11,4,2022
354,29,1,21,11,11,4,2020
355,40,3,9,19,7,3,2018
356,5,1,16,17,12,4,2021
357,33,4,9,14,11,4,2023
358,25,19,27,20,6,2,2022
359,45,20,29,49,7,3,2022
360,37,10,11,49,8,3,2020
361,34,7,29,44,7,3,2019
362,31,11,13,41,6,2,2023
363,18,6,13,5,2,1,2019
364,42,14,3,40,10,4,2023
365,5,6,20,45,9,3,2018
366,56,12,13,7,11,4,2020
367,54,21,2,21,2,1,2022
368,5,21,7,18,3,1,2018
369,12,4,24,43,5,2,2020
370,41,17,29,38,4,2,2023
371,3,19,20,50,6,2,2018
372,3,6,11,36,11,4,2023
373,52,5,26,15,10,4,2020
374,14,21,7,2,2,1,2018
375,9,11,12,48,12,4,2021
376,48,17,28,35,11,4,2018
377,31,16,15,28,1,1,2019
378,7,15,20,11,3,1,2022
379,48,2,11,20,3,1,2023
380,26,8,18,42,7,3,2023
381,1,7,17,7,6,2,2018
382,2,6,3,45,1,1,2022
383,17,3,13,32,12,4,2020
384,33,23,1,15,2,1,2021
385,15,20,30,5,7,3,2020
386,34,5,1,3,6,2,2023
387,6,6,17,29,6,2,2021
388,6,4,3,50,9,3,2023
389,3,5,28,48,8,3,2022
390,15,23,8,32,8,3,2020
391,39,15,26,34,10,4,2021
392,1,6,21,22,11,4,2022
393,40,19,29,41,10,4,2021
394,45,9,30,23,7,3,2018
395,23,13,24,8,2,1,2019
396,54,23,28,13,7,3,2019
397,48,1,18,34,8,3,2021
398,23,1,21,32,10,4,2023
399,52,2,23,45,9,3,2022
400,33,2,10,21,2,1,2018
401,32,15,5,23,6,2,2023
402,56,2,12,24,8,3,2019
403,11,18,18,12,4,2,2022
404,44,8,11,49,5,2,2023
405,3,2,12,43,4,2,2021
406,25,3,16,28,4,2,2020
407,43,5,6,7,5,2,2020
408,10,23,14,23,12,4,2021
409,56,4,18,35,7,3,2019
410,37,17,14,31,4,2,2022
411,58,12,8,47,5,2,2020
412,49,7,14,28,7,3,2019
413,53,1,14,6,5,2,2020
414,31,1,5,44,11,4,2023
415,35,16,2,23,3,1,2020
416,38,1,18,47,1,1,2018
417,37,14,6,43,2,1,2021
418,54,8,30,46,8,3,2022
419,24,23,16,3,8,3,2018
420,17,23,11,8,8,3,2019
421,25,1,2,44,6,2,2022
422,56,12,25,28,6,2,2018
423,37,0,28,29,3,1,2018
424,41,14,8,26,1,1,2019
425,8,14,9,28,5,2,2021
426,56,0,18,11,7,3,2022
427,32,16,14,35,3,1,2021
428,7,9,18,40,6,2,2020
429,47,22,14,46,9,3,2023
430,30,6,16,25,7,3,2022
431,19,0,21,30,9,3,2021
432,13,12,16,50,12,4,2019
433,9,6,7,9,12,4,2018
434,12,10,30,47,11,4,2020
435,20,11,5,4,4,2,2023
436,10,20,29,20,3,1,2022
437,57,18,3,2,7,3,2019
438,14,9,14,2,10,4,2018
439,39,10,25,31,4,2,2023
440,52,5,20,42,5,2,2021
441,17,5,17,48,12,4,2019
442,13,11,17,25,2,1,2020
443,28,18,25,40,4,2,2019
444,35,4,6,1,4,2,2022
445,53,12,8,17,6,2,2022
446,3,16,27,27,11,4,2019
447,17,8,11,42,8,3,2019
448,22,19,10,22,9,3,2020
449,4,5,2,5,5,2,2021
450,29,18,10,42,9,3,2018
451,9,1,7,17,9,3,2023
452,34,5,10,8,11,4,2022
453,26,5,15,11,11,4,2019
454,37,9,10,18,6,2,2019
455,41,5,30,25,3,1,2023
456,4,23,20,4,3,1,2022
457,1,14,1,24,7,3,2019
458,27,14,4,30,10,4,2021
459,46,14,1,5,4,2,2021
460,30,16,17,15,3,1,2022
461,24,4,21,30,2,1,2019
462,0,8,19,51,11,4,2019
463,11,2,22,4,12,4,2022
464,7,11,17,47,4,2,2022
465,42,12,28,25,5,2,2018
466,35,16,23,21,12,4,2018
467,28,2,18,51,5,2,2018
468,23,5,3,20,2,1,2023
469,46,8,13,11,3,1,2022
470,43,16,21,46,9,3,2020
471,8,14,7,19,4,2,2020
472,49,2,22,35,2,1,2023
473,19,6,11,51,8,3,2019
474,15,12,18,24,10,4,2023
475,17,22,30,8,4,2,2023
476,43,2,29,32,6,2,2023
477,50,21,17,43,11,4,2018
478,8,13,6,17,8,3,2021
479,56,2,25,14,11,4,2022
480,46,5,3,6,2,1,2018
481,28,7,14,39,1,1,2019
482,0,2,2,1,5,2,2023
483,32,19,15,11,10,4,2023
484,27,15,6,13,3,1,2021
485,27,20,15,26,9,3,2023
486,24,11,15,34,8,3,2020
487,57,1,17,25,12,4,2018
488,16,12,13,4,4,2,2021
489,52,19,28,23,6,2,2023
490,55,17,24,10,12,4,2023
491,2,14,11,1,10,4,2023
492,40,18,12,4,10,4,2020
493,12,23,21,11,4,2,2020
494,33,17,25,3,8,3,2020
495,18,6,16,51,5,2,2021
496,27,6,12,23,5,2,2020
497,25,3,23,6,7,3,2018
498,17,11,6,51,4,2,2020
499,42,16,16,10,2,1,2023
500,42,17,22,11,7,3,2021
501,29,16,8,35,3,1,2021
502,57,7,26,29,2,1,2023
503,20,7,27,13,3,1,2021
504,10,15,27,24,12,4,2020
505,45,8,9,32,7,3,2021
506,53,12,26,51,11,4,2019
507,39,8,18,14,8,3,2018
508,36,8,10,48,11,4,2020
509,2,14,16,41,3,1,2018
510,3,4,26,4,1,1,2023
511,10,17,30,47,4,2,2021
512,59,19,9,32,1,1,2023
513,19,6,30,47,5,2,2019
514,0,12,7,43,10,4,2018
515,34,13,5,6,6,2,2023
516,1,19,29,23,8,3,2020
517,36,14,18,50,1,1,2020
518,59,1,15,16,6,2,2019
519,7,9,3,14,5,2,2023
520,27,6,12,9,7,3,2021
521,42,5,22,36,12,4,2021
522,1,9,13,14,11,4,2022
523,31,23,28,41,6,2,2021
524,53,0,13,49,6,2,2018
525,43,18,25,10,11,4,2023
526,42,18,25,50,8,3,2022
527,41,10,22,48,4,2,2021
528,21,20,16,45,7,3,2023
529,29,16,4,26,8,3,2019
530,50,18,14,45,8,3,2018
531,52,2,16,12,8,3,2019
532,35,6,25,41,3,1,2019
533,8,0,16,27,6,2,2022
534,26,17,13,3,6,2,2018
535,51,2,4,26,2,1,2023
536,33,6,15,40,9,3,2020
537,39,11,20,29,5,2,2022
538,30,5,12,33,10,4,2020
539,26,2,12,20,2,1,2018
540,12,19,15,32,10,4,2021
541,10,1,20,45,8,3,2019
542,52,7,9,4,6,2,2019
543,22,21,20,35,9,3,2020
544,29,15,13,48,11,4,2023
545,8,15,25,12,10,4,2018
546,3,22,19,3,1,1,2021
547,5,1,18,2,5,2,2021
548,7,20,5,24,12,4,2019
549,41,15,1,44,3,1,2021
550,20,14,3,17,9,3,2021
551,22,11,21,24,12,4,2018
552,43,16,7,22,6,2,2022
553,16,9,23,9,11,4,2022
554,7,9,28,22,12,4,2021
555,26,15,19,51,4,2,2021
556,12,23,23,29,6,2,2018
557,19,14,18,50,10,4,2018
558,14,20,8,25,6,2,2018
559,40,17,18,38,7,3,2019
560,5,17,11,21,10,4,2022
561,37,13,22,4,8,3,2022
562,23,19,13,46,5,2,2023
563,7,21,2,5,11,4,2021
564,23,18,15,36,8,3,2018
565,40,7,15,44,12,4,2020
566,46,20,1,8,11,4,2019
567,59,23,9,33,12,4,2022
568,17,22,20,16,11,4,2019
569,6,15,9,27,1,1,2019
570,4,23,1,4,11,4,2021
571,25,3,2,46,6,2,2018
572,55,23,11,39,7,3,2018
573,30,20,29,49,11,4,2018
574,20,10,14,8,2,1,2023
575,14,15,19,36,11,4,2018
576,43,14,17,2,3,1,2020
577,3,3,13,22,12,4,2019
578,25,11,4,11,6,2,2019
579,1,20,17,51,1,1,2018
580,49,8,23,2,5,2,2022
581,30,16,9,29,1,1,2022
582,38,4,18,16,7,3,2018
583,25,18,2,37,9,3,2022
584,41,15,12,31,1,1,2018
585,20,3,3,46,12,4,2023
586,15,6,10,8,9,3,2020
587,2,8,5,19,3,1,2019
588,35,2,11,20,6,2,2022
589,1,21,12,18,1,1,2022
590,26,16,9,51,6,2,2022
591,40,0,9,35,8,3,2021
592,45,21,10,23,11,4,2019
593,11,14,12,46,7,3,2023
594,25,5,29,5,4,2,2023
595,40,21,17,33,3,1,2022
596,53,7,9,36,7,3,2021
597,8,9,20,8,7,3,2019
598,3,14,26,14,12,4,2023
599,42,0,21,16,10,4,2018
600,56,16,27,20,3,1,2018
601,41,17,4,35,6,2,2019
602,33,18,16,12,3,1,2023
603,5,17,3,29,7,3,2021
604,3,5,12,35,11,4,2021
605,15,15,13,36,9,3,2023
606,47,0,28,23,5,2,2020
607,44,0,12,47,6,2,2023
608,5,9,10,12,3,1,2020
609,28,11,16,18,3,1,2018
610,30,10,20,25,3,1,2023
611,23,7,3,38,12,4,2019
612,57,23,11,38,10,4,2020
613,55,15,13,2,4,2,2021
614,7,3,25,51,3,1,2023
615,16,15,7,50,4,2,2019
616,4,18,16,35,7,3,2021
617,0,10,24,47,12,4,2023
618,4,7,30,9,7,3,2019
619,22,11,27,22,4,2,2023
620,52,6,9,6,8,3,2021
621,25,17,14,17,7,3,2019
622,48,8,20,44,2,1,2022
623,37,6,16,1,6,2,2022
624,15,22,23,5,11,4,2018
625,20,2,30,15,2,1,2022
626,58,8,12,24,2,1,2019
627,1,3,2,14,1,1,2022
628,22,23,26,12,8,3,2022
629,11,8,3,17,4,2,2018
630,19,20,11,8,4,2,2020
631,26,12,28,12,4,2,2022
632,31,4,2,40,2,1,2023
633,34,17,14,8,7,3,2023
634,14,5,11,8,10,4,2023
635,21,17,26,32,5,2,2020
636,8,4,10,44,4,2,2018
637,13,18,8,14,9,3,2021
638,31,19,29,1,9,3,2020
639,4,5,10,44,8,3,2020
640,39,5,3,3,7,3,2019
641,12,10,10,22,2,1,2019
642,58,3,3,3,8,3,2018
643,54,6,27,45,11,4,2023
644,41,17,22,18,7,3,2019
645,11,7,13,33,4,2,2020
646,22,2,8,51,5,2,2023
647,1,6,29,40,3,1,2021
648,1,11,8,12,12,4,2019
649,24,8,15,14,4,2,2020
650,59,19,12,13,11,4,2021
651,15,7,30,15,7,3,2018
652,3,7,19,2,1,1,2022
653,5,11,11,5,3,1,2023
654,4,3,16,39,6,2,2018
655,59,23,2,39,9,3,2018
656,33,7,7,27,4,2,2019
657,34,16,2,48,11,4,2022
658,19,15,11,49,5,2,2019
659,9,8,25,47,6,2,2020
660,43,16,17,29,2,1,2023
661,53,1,16,32,9,3,2023
662,1,15,30,15,2,1,2019
663,46,16,1,37,2,1,2023
664,48,20,26,30,9,3,2023
665,5,6,19,20,8,3,2019
666,31,5,24,23,12,4,2018
667,43,4,10,45,4,2,2022
668,51,0,18,32,7,3,2018
669,21,4,21,26,5,2,2022
670,23,8,27,23,6,2,2019
671,0,8,21,51,12,4,2023
672,32,16,9,21,5,2,2018
673,52,6,28,38,10,4,2018
674,2,0,1,3,2,1,2023
675,39,11,13,19,3,1,2019
676,53,14,2,43,9,3,2019
677,20,3,15,41,7,3,2020
678,54,21,2,30,11,4,2023
679,56,16,4,33,10,4,2022
680,16,21,8,34,4,2,2020
681,35,20,18,44,10,4,2021
682,52,13,21,32,5,2,2018
683,37,16,29,27,3,1,2018
684,37,10,8,27,7,3,2022
685,55,19,3,26,1,1,2019
686,36,4,5,6,8,3,2022
687,25,3,27,8,7,3,2021
688,11,8,19,9,9,3,2023
689,54,2,14,13,5,2,2021
690,30,17,4,45,10,4,2021
691,54,5,20,35,3,1,2023
692,25,22,14,21,11,4,2020
693,20,4,29,21,11,4,2019
694,40,22,24,33,7,3,2021
695,19,4,8,42,4,2,2023
696,2,20,24,17,9,3,2019
697,28,13,10,13,7,3,2023
698,2,12,28,20,6,2,2018
699,11,15,12,8,3,1,2020
700,53,15,13,20,1,1,2022
701,26,0,26,30,3,1,2023
702,5,23,12,49,8,3,2021
703,27,8,13,44,10,4,2021
704,36,12,19,1,2,1,2021
705,9,13,21,11,10,4,2022
706,56,9,7,5,1,1,2022
707,29,14,12,44,9,3,2020
708,14,6,10,1,8,3,2022
709,59,1,21,14,12,4,2021
710,15,4,3,32,1,1,2018
711,58,17,6,40,12,4,2020
712,29,1,22,38,12,4,2020
713,17,22,16,16,1,1,2021
714,5,22,9,30,8,3,2019
715,41,15,28,26,6,2,2018
716,45,21,8,33,10,4,2022
717,34,1,28,32,3,1,2023
718,14,5,24,34,7,3,2019
719,51,5,7,24,4,2,2019
720,3,12,18,10,6,2,2020
721,54,16,6,42,6,2,2018
722,22,20,24,30,9,3,2018
723,59,13,17,37,8,3,2023
724,37,23,13,31,3,1,2021
725,5,15,2,38,3,1,2020
726,5,13,18,37,5,2,2022
727,2,6,1,16,10,4,2023
728,53,3,10,31,11,4,2021
729,32,3,21,20,11,4,2020
730,29,16,27,10,6,2,2022
731,32,11,1,2,2,1,2018
732,30,3,20,5,6,2,2021
733,11,5,17,47,1,1,2018
734,49,14,8,41,6,2,2023
735,37,9,16,14,10,4,2019
736,40,4,9,10,12,4,2021
737,28,8,28,6,5,2,2020
738,11,2,3,45,7,3,2020
739,51,14,23,6,1,1,2023
740,51,18,6,49,7,3,2021
741,35,13,6,13,5,2,2023
742,19,8,20,7,7,3,2019
743,47,15,19,8,12,4,2022
744,49,1,21,4,3,1,2022
745,22,3,3,27,10,4,2023
746,53,14,26,43,12,4,2023
747,31,18,26,10,7,3,2019
748,46,2,21,38,1,1,2019
749,10,23,21,36,1,1,2019
750,32,10,25,51,2,1,2020
751,52,12,2,36,9,3,2020
752,51,6,8,10,2,1,2019
753,49,8,14,15,9,3,2023
754,9,10,10,8,2,1,2019
755,53,22,30,45,7,3,2020
756,47,8,8,50,12,4,2021
757,41,21,10,16,9,3,2020
758,48,19,14,48,10,4,2018
759,18,19,6,5,4,2,2021
760,0,16,6,15,3,1,2018
761,56,9,7,21,10,4,2021
762,42,20,20,33,4,2,2018
763,24,19,25,31,6,2,2020
764,21,14,23,6,11,4,2020
765,3,4,29,39,3,1,2023
766,55,1,23,13,1,1,2021
767,38,23,13,8,2,1,2023
768,58,1,29,3,10,4,2022
769,58,18,10,32,6,2,2022
770,28,20,27,12,3,1,2019
771,39,23,6,37,11,4,2023
772,24,15,21,41,1,1,2021
773,0,2,3,42,8,3,2022
774,15,5,28,34,2,1,2018
775,57,5,23,7,10,4,2018
776,32,22,21,29,5,2,2020
777,13,20,16,35,8,3,2019
778,20,0,15,12,12,4,2021
779,58,20,26,21,3,1,2020
780,28,12,30,32,4,2,2019
781,31,18,5,21,7,3,2020
782,15,1,21,2,5,2,2019
783,23,10,18,46,6,2,2022
784,50,6,10,33,7,3,2021
785,6,6,13,31,12,4,2022
786,53,23,15,27,7,3,2023
787,28,22,4,46,9,3,2021
788,21,5,27,9,3,1,2020
789,39,9,20,35,6,2,2022
790,49,8,25,45,11,4,2022
791,26,6,29,36,6,2,2020
792,2,14,4,22,4,2,2020
793,3,18,7,12,5,2,2021
794,34,8,20,48,5,2,2022
795,43,13,21,13,6,2,2020
796,15,19,11,13,1,1,2020
797,8,22,12,12,2,1,2022
798,18,14,21,8,11,4,2022
799,15,14,3,30,10,4,2023
800,10,22,16,20,3,1,2018
801,20,5,7,17,10,4,2020
802,55,7,12,13,2,1,2019
803,46,5,6,10,9,3,2018
804,23,2,4,31,7,3,2018
805,11,11,13,41,4,2,2020
806,47,8,26,21,9,3,2018
807,21,1,8,37,11,4,2020
808,42,17,28,40,4,2,2021
809,42,16,23,39,5,2,2020
810,39,1,4,27,8,3,2023
811,48,21,25,6,6,2,2020
812,44,2,15,15,10,4,2022
813,28,9,26,38,4,2,2022
814,34,19,21,3,12,4,2019
815,49,22,5,11,3,1,2020
816,27,5,10,42,1,1,2019
817,31,19,24,12,5,2,2021
818,47,0,3,10,8,3,2018
