ID,Member_ID,Customer_ID,Service_ID,Branch_ID,Date_ID,Channel,Action,Severity
95,91,44952,2,45,3219,Online,Feedback,3
96,151,8045,67,10,10131,Online,Inquiry,9
97,271,44256,30,19,41777,Online,Feedback,10
98,505,37913,93,8,22989,Online,Inquiry,7
99,853,25961,66,11,25496,Online,Feedback,2
100,505,32683,90,26,7593,Online,Complaint,7
101,831,38398,12,52,33496,In Person,Complaint,3
102,409,16668,11,45,19012,In Person,Inquiry,2
103,999,12298,12,19,21658,In Person,Complaint,9
104,528,43165,25,51,24045,Phone,Inquiry,2
105,323,13373,15,31,5413,Online,Feedback,6
106,910,37826,15,38,42031,Online,Feedback,2
107,123,17057,21,1,21381,Online,Inquiry,3
108,615,21939,78,51,27219,Phone,Inquiry,1
109,662,8941,64,49,46722,Phone,Complaint,9
110,182,10476,25,23,27052,Online,Complaint,6
111,97,35910,43,48,48556,Online,Complaint,5
112,972,10553,75,27,37153,Online,Complaint,1
113,260,15385,12,5,26333,In Person,Feedback,9
114,892,41080,61,27,4129,Phone,Inquiry,5
115,718,35338,17,4,3803,Online,Complaint,5
116,636,18234,75,22,1922,In Person,Feedback,10
117,417,34350,80,16,21003,Phone,Feedback,9
118,314,26942,63,18,21941,In Person,Inquiry,6
119,859,30730,37,28,36937,Online,Complaint,5
120,24,14780,44,14,33306,Phone,Inquiry,6
121,903,40840,22,17,43000,In Person,Inquiry,1
122,294,16763,78,4,21374,In Person,Inquiry,9
123,850,35379,69,37,18625,In Person,Feedback,10
124,772,38796,35,38,29976,Online,Inquiry,1
125,449,43537,47,40,14929,Online,Complaint,9
126,105,8404,19,1,48065,In Person,Inquiry,4
127,375,6753,10,52,34088,Phone,Feedback,8
128,956,16489,55,23,28434,Phone,Feedback,6
129,955,26031,74,27,19692,In Person,Inquiry,4
130,598,28075,33,40,8994,Phone,Complaint,6
131,859,32519,18,36,26733,In Person,Feedback,10
132,320,22406,15,1,37734,Online,Complaint,2
133,953,24571,14,16,37092,In Person,Feedback,9
134,913,14865,7,41,20071,Phone,Complaint,8
135,921,40457,29,20,12196,Online,Complaint,1
136,509,42188,59,16,32056,Online,Feedback,2
137,56,41876,65,6,25281,In Person,Complaint,7
138,882,29335,86,9,27090,Phone,Inquiry,3
139,234,30941,26,49,24162,Phone,Inquiry,3
140,158,35238,27,28,11751,Phone,Feedback,5
141,19,34294,10,42,22859,Phone,Feedback,3
142,370,12402,32,29,28642,Phone,Complaint,3
143,23,24814,63,13,46572,Phone,Feedback,7
144,974,9779,40,6,46885,In Person,Inquiry,1
145,6,1484,82,14,17198,Online,Inquiry,5
146,745,19245,18,7,4156,Online,Feedback,5
147,529,34664,34,4,1012,In Person,Feedback,3
148,425,25991,48,8,36486,In Person,Complaint,2
149,555,38453,57,40,42478,Online,Complaint,1
150,197,18137,53,40,8620,Phone,Inquiry,9
151,250,28514,81,26,19855,Phone,Feedback,7
152,959,515,90,3,19629,Phone,Feedback,5
153,74,41094,44,40,27782,In Person,Feedback,10
154,742,33477,83,13,41126,Online,Complaint,7
155,858,2021,23,30,40081,Phone,Complaint,5
156,296,14050,69,24,15253,Phone,Feedback,8
157,326,18358,48,25,5895,Phone,Inquiry,3
158,786,9276,89,53,16977,In Person,Feedback,2
159,237,41690,26,6,29960,Phone,Complaint,6
160,341,37494,92,20,25243,Online,Complaint,6
161,469,1569,1,31,40568,Online,Complaint,9
162,684,18810,2,21,10555,Online,Complaint,10
163,555,12025,42,23,9327,Online,Complaint,10
164,378,974,89,21,45030,Online,Inquiry,8
165,558,25542,26,21,40547,In Person,Feedback,4
166,311,44716,48,18,33670,Online,Feedback,9
167,719,6489,58,48,31659,In Person,Inquiry,6
168,65,4447,75,9,32116,Phone,Complaint,10
169,206,6924,14,41,13531,In Person,Feedback,7
170,435,23085,27,1,1412,Phone,Feedback,8
171,626,12051,65,11,22230,In Person,Feedback,9
172,552,12353,27,11,11698,Phone,Feedback,8
173,871,44843,59,31,26453,In Person,Feedback,3
174,321,17465,3,37,46060,Phone,Inquiry,4
175,102,1746,53,7,46983,In Person,Feedback,3
176,511,12654,60,10,21566,Phone,Feedback,2
177,293,20949,7,49,10030,Online,Inquiry,4
178,176,20109,9,40,31073,Phone,Complaint,3
179,113,40904,13,50,23626,Online,Complaint,9
180,581,9095,91,29,3847,Phone,Inquiry,6
181,947,793,79,29,38096,Online,Feedback,8
182,145,33172,5,19,45398,Online,Feedback,7
183,285,14914,54,21,22066,Phone,Feedback,6
184,173,32903,65,36,22343,Phone,Feedback,1
185,193,13753,75,19,46441,In Person,Feedback,10
186,477,8825,90,6,2106,Phone,Feedback,1
187,644,33306,81,16,689,Online,Feedback,9
188,733,31297,90,14,9214,Phone,Feedback,2
189,891,32976,7,6,24860,In Person,Inquiry,3
190,129,43754,6,10,43538,In Person,Inquiry,5
191,303,18657,46,18,40150,In Person,Inquiry,7
192,803,26592,73,14,36817,Phone,Complaint,6
193,978,24349,56,13,29108,Online,Feedback,4
194,290,37713,83,18,15277,Online,Inquiry,9
195,433,44487,55,17,47820,Phone,Complaint,4
196,746,42948,62,7,21003,In Person,Feedback,4
197,808,38007,74,22,23964,Online,Feedback,9
198,199,21950,51,23,35831,In Person,Complaint,4
199,379,3135,95,49,27206,Phone,Feedback,2
200,877,20187,37,27,22180,In Person,Inquiry,5
201,301,38101,94,17,2092,Phone,Inquiry,4
202,183,6261,0,45,7400,In Person,Feedback,9
203,955,44075,16,46,13145,Online,Inquiry,5
204,354,24592,27,37,13368,In Person,Inquiry,5
205,430,3181,82,33,28348,Online,Inquiry,8
206,902,4759,4,26,8500,In Person,Feedback,7
207,941,34276,47,2,291,Online,Feedback,4
208,423,9277,39,35,22176,Phone,Complaint,3
209,835,11831,65,33,18149,Phone,Feedback,4
210,780,3520,35,2,38713,Phone,Feedback,2
211,243,32653,62,3,1599,Online,Feedback,10
212,512,2037,22,50,33582,In Person,Inquiry,10
213,569,25381,74,34,11636,In Person,Feedback,1
214,680,34172,14,33,31780,In Person,Inquiry,4
215,317,12688,18,1,26801,Phone,Feedback,10
216,950,42246,61,29,11670,Online,Complaint,2
217,846,27903,3,4,18986,Online,Complaint,10
218,454,43527,33,30,6018,Phone,Feedback,6
219,834,36889,73,14,22261,Phone,Inquiry,8
220,210,11258,51,12,41168,Phone,Inquiry,3
221,446,37176,77,45,16659,In Person,Inquiry,3
222,742,40570,43,41,21920,Online,Feedback,5
223,699,3403,90,38,49836,Phone,Complaint,2
224,956,27669,53,40,25321,In Person,Inquiry,2
225,792,5181,30,40,42927,Online,Inquiry,5
226,791,44939,84,45,9909,Online,Complaint,5
227,810,36813,79,39,39863,In Person,Complaint,8
228,1000,18063,23,9,39525,Online,Complaint,5
229,743,26626,64,7,45167,In Person,Feedback,3
230,45,20197,59,34,21041,Online,Inquiry,9
231,421,7156,63,40,32565,In Person,Feedback,4
232,184,43411,30,23,10739,In Person,Inquiry,2
233,621,42347,25,27,39015,Online,Complaint,1
234,5,35753,15,26,30554,Phone,Complaint,8
235,859,33227,28,27,18689,Online,Inquiry,10
236,838,2020,11,1,32543,Online,Feedback,4
237,869,41384,73,24,47780,Online,Inquiry,1
238,547,22387,25,45,35717,In Person,Complaint,10
239,690,6689,36,2,40133,Online,Complaint,5
240,668,37965,80,7,8655,Phone,Inquiry,2
241,96,35585,0,7,2561,Phone,Complaint,6
242,853,31407,49,46,29247,Phone,Feedback,2
243,931,9462,48,17,10625,Phone,Complaint,2
244,760,2645,30,26,3311,In Person,Inquiry,3
245,56,24296,8,4,22107,In Person,Feedback,7
246,2,29999,8,1,15383,In Person,Feedback,9
247,225,19748,22,6,22819,In Person,Complaint,2
248,286,36894,88,29,2125,Phone,Complaint,9
249,872,19713,3,14,44948,In Person,Inquiry,10
250,949,37109,28,50,38905,Phone,Complaint,8
251,979,20967,35,16,2242,Online,Feedback,3
252,133,7110,19,42,29561,Online,Inquiry,1
253,805,27474,7,36,37740,Online,Feedback,4
254,228,26493,11,27,17347,Phone,Complaint,9
255,402,45134,12,27,748,Online,Inquiry,9
256,12,39218,74,10,37367,Phone,Inquiry,6
257,223,29880,89,21,16553,Phone,Feedback,10
258,132,7698,33,50,12225,Online,Inquiry,1
259,680,18181,53,4,41415,Phone,Complaint,10
260,373,23231,72,5,23572,Phone,Feedback,10
261,357,39035,95,33,17048,In Person,Inquiry,5
262,216,31583,20,17,26922,Phone,Feedback,6
263,848,21121,94,53,3118,Phone,Feedback,9
264,984,32152,88,46,27878,Phone,Inquiry,3
265,251,13575,30,24,44362,Phone,Inquiry,10
266,335,44485,25,52,30652,Phone,Complaint,1
267,357,12742,14,41,32181,Phone,Feedback,5
268,226,37088,67,38,5097,In Person,Feedback,5
269,102,35019,64,34,23088,Online,Complaint,8
270,923,40930,62,47,27921,In Person,Inquiry,2
271,348,35059,19,23,29161,In Person,Complaint,4
272,147,29846,48,50,40376,Phone,Inquiry,2
273,470,26187,75,37,39624,Phone,Complaint,8
274,927,26600,99,32,5432,Online,Inquiry,2
275,75,19682,33,31,7323,Online,Complaint,10
276,928,40273,79,33,15547,In Person,Complaint,10
277,797,40602,55,39,26852,Online,Complaint,4
278,726,31408,33,38,35564,In Person,Inquiry,8
279,983,4026,23,29,8354,Phone,Inquiry,7
280,582,33871,14,46,23225,In Person,Inquiry,7
281,797,17099,60,36,20306,In Person,Inquiry,10
282,285,4597,92,2,38986,In Person,Feedback,5
283,943,23233,6,37,45739,Phone,Feedback,3
284,343,8417,22,12,12650,In Person,Complaint,10
285,477,2013,5,37,49334,Phone,Inquiry,8
286,523,3820,46,35,6352,Phone,Complaint,6
287,493,34699,56,47,35663,Online,Inquiry,1
288,695,12096,41,28,26889,In Person,Inquiry,2
289,137,10600,84,49,13128,In Person,Feedback,10
290,46,813,26,13,47560,Online,Inquiry,3
291,452,27374,66,28,24217,Phone,Inquiry,4
292,547,10896,92,33,25633,In Person,Feedback,2
293,534,14271,52,41,37812,Online,Complaint,8
294,849,44490,40,43,7891,Phone,Complaint,2
295,443,30955,74,14,17921,In Person,Feedback,10
296,479,29142,56,26,30833,Online,Complaint,10
297,562,7926,56,17,42283,Online,Complaint,2
298,719,38985,78,28,49298,In Person,Inquiry,4
299,31,15641,78,22,32505,Phone,Feedback,6
300,940,11874,65,42,41515,Online,Feedback,6
301,227,31089,17,4,47541,Online,Inquiry,1
302,865,30152,91,53,1283,In Person,Inquiry,10
303,407,31989,77,5,4008,Online,Inquiry,3
304,221,27711,40,19,48188,In Person,Feedback,7
305,951,31938,35,29,45763,In Person,Inquiry,7
306,163,7436,97,6,12668,In Person,Inquiry,1
307,585,32483,84,40,43526,Online,Feedback,3
308,818,20273,59,49,40484,Phone,Inquiry,5
309,275,5633,98,23,40126,Online,Inquiry,7
310,528,23435,20,16,32884,Phone,Complaint,7
311,603,30901,47,33,29723,Online,Complaint,8
312,989,18194,59,18,39289,In Person,Complaint,7
313,737,22249,92,12,26687,In Person,Complaint,5
314,657,6004,56,28,4306,Online,Inquiry,4
315,946,41986,2,8,1025,Phone,Feedback,1
316,263,38314,81,2,43952,Online,Feedback,1
317,785,10918,1,29,33506,Phone,Inquiry,5
318,709,39535,1,50,13264,Phone,Complaint,5
319,783,27146,30,7,42114,Phone,Inquiry,3
320,809,44376,14,47,21917,In Person,Feedback,7
321,586,21991,14,44,35536,In Person,Inquiry,3
322,29,35125,18,27,28226,Phone,Feedback,7
323,98,3801,47,6,40732,Phone,Feedback,2
324,752,3882,30,15,11343,Phone,Complaint,10
325,296,24508,26,2,30064,Online,Inquiry,4
326,502,6275,25,22,11727,Phone,Complaint,7
327,172,22075,94,12,13614,Online,Inquiry,4
328,632,14299,53,15,32098,In Person,Inquiry,1
329,397,23240,96,22,7705,In Person,Inquiry,2
330,510,43078,97,5,8897,In Person,Complaint,5
331,43,33557,32,45,21622,In Person,Complaint,9
332,56,22158,45,7,34902,In Person,Complaint,1
333,597,38653,99,48,21038,Online,Inquiry,1
334,761,5038,54,53,7578,Phone,Inquiry,5
335,296,26758,13,33,16129,In Person,Feedback,4
336,941,26636,90,39,48191,In Person,Complaint,2
337,545,14865,60,25,43816,Online,Inquiry,2
338,120,7303,59,37,36745,Online,Inquiry,6
339,199,19513,84,51,47283,In Person,Inquiry,6
340,254,41004,35,42,25157,Phone,Feedback,1
341,214,28837,57,3,30052,Online,Inquiry,6
342,203,4422,10,34,30507,In Person,Feedback,4
343,604,7778,76,39,32850,In Person,Complaint,4
344,777,40232,12,45,41201,Phone,Inquiry,8
345,533,27618,89,10,8339,Phone,Complaint,6
346,892,32935,80,7,8618,Phone,Complaint,10
347,779,9045,21,9,17894,Online,Feedback,8
348,735,4839,68,47,3717,In Person,Feedback,3
349,755,14635,13,22,18934,In Person,Complaint,7
350,706,39599,84,42,24348,Online,Inquiry,6
351,81,9908,27,34,21626,In Person,Feedback,5
352,895,32552,49,2,33143,Online,Complaint,1
353,925,4610,81,24,48350,In Person,Complaint,8
354,436,17581,82,14,6480,Phone,Complaint,3
355,842,19837,40,24,31277,Online,Inquiry,9
356,801,25531,61,17,42764,In Person,Feedback,7
357,54,26878,83,6,25643,In Person,Inquiry,6
358,980,8006,32,19,37693,Phone,Complaint,4
359,129,15565,98,46,5642,Online,Complaint,4
360,954,12647,14,45,36576,Phone,Complaint,6
361,703,24794,58,20,44290,Phone,Feedback,4
362,131,21710,6,1,28673,In Person,Feedback,4
363,904,16867,17,40,12786,In Person,Complaint,2
364,263,7172,80,10,45388,Online,Feedback,10
365,624,17973,92,43,7632,Online,Complaint,4
366,457,13805,59,51,16155,In Person,Complaint,3
367,219,43645,93,44,33708,In Person,Feedback,9
368,453,40284,58,10,14208,In Person,Complaint,7
369,500,26879,22,27,16687,In Person,Complaint,1
370,310,26610,53,52,2045,Phone,Feedback,3
371,320,44659,73,25,43704,Phone,Inquiry,6
372,401,27559,77,25,38819,In Person,Feedback,2
373,556,42671,88,6,15469,Online,Complaint,3
374,839,9523,88,36,34543,In Person,Complaint,10
375,889,34762,55,37,12674,Online,Feedback,10
376,193,31894,82,53,29676,In Person,Feedback,6
377,171,21928,30,18,1648,In Person,Inquiry,6
378,82,32859,28,7,44726,Phone,Complaint,2
379,293,21023,10,29,32725,In Person,Complaint,9
380,431,20841,59,5,4429,Phone,Inquiry,5
381,473,33052,75,37,7853,Phone,Complaint,7
382,980,35297,60,40,4072,In Person,Feedback,6
383,934,42059,21,1,32957,Phone,Complaint,7
384,834,1128,65,33,43630,Phone,Feedback,6
385,444,34343,63,2,42375,Online,Inquiry,7
386,1,6912,78,36,43584,Phone,Feedback,4
387,859,7004,18,27,39731,In Person,Inquiry,8
388,478,2161,75,32,3275,In Person,Feedback,8
389,822,38827,31,1,45802,Online,Complaint,5
390,536,3278,12,17,42067,Online,Inquiry,3
391,614,22122,70,48,4064,In Person,Inquiry,2
392,32,37083,63,6,27357,Online,Feedback,8
393,896,30509,57,6,17021,Phone,Complaint,10
394,827,17760,14,3,8974,Online,Complaint,5
395,22,34324,82,39,14705,In Person,Inquiry,3
396,512,7062,69,33,40951,Phone,Inquiry,3
397,238,25290,11,48,582,Phone,Complaint,5
398,214,705,36,24,1376,Phone,Feedback,7
399,278,29400,72,8,1005,In Person,Feedback,6
400,394,3575,45,11,20771,Phone,Complaint,3
401,682,44200,6,15,48533,Online,Inquiry,9
402,449,30082,24,48,38135,Online,Feedback,2
403,398,30732,98,16,2492,In Person,Complaint,7
404,699,40146,83,43,11854,In Person,Complaint,5
405,144,5137,77,15,31098,In Person,Feedback,1
406,44,6089,30,44,5795,In Person,Inquiry,8
407,298,30245,15,26,27773,Online,Feedback,5
408,714,20964,63,43,23160,In Person,Inquiry,3
409,39,11018,56,25,21120,Phone,Inquiry,7
410,238,36803,76,3,11040,Phone,Feedback,6
411,94,3524,88,46,21915,Online,Feedback,1
412,885,11260,52,24,29221,Phone,Inquiry,5
413,835,825,39,20,36711,Online,Feedback,5
414,750,20306,50,35,9082,Online,Inquiry,9
415,576,19993,61,50,35009,Online,Feedback,7
416,952,6357,14,1,8541,Phone,Feedback,9
417,498,3953,4,8,12671,Phone,Complaint,9
418,343,1626,62,32,8425,Phone,Complaint,7
419,190,30058,2,10,37288,Online,Feedback,4
420,869,23282,67,39,23744,Phone,Feedback,8
421,906,7550,7,8,24611,Phone,Inquiry,10
422,915,21079,43,12,24424,Phone,Inquiry,8
423,811,9435,13,21,18733,Phone,Complaint,6
424,381,15613,93,7,20819,Online,Complaint,6
425,530,5502,53,46,39418,Online,Inquiry,10
426,81,27455,14,44,37498,In Person,Complaint,7
427,790,4628,91,45,9124,In Person,Inquiry,3
428,367,24894,21,26,44143,Online,Complaint,10
429,73,35475,38,43,37745,Phone,Inquiry,10
430,483,43764,31,9,1398,Phone,Feedback,1
431,706,43337,60,27,16977,In Person,Inquiry,10
432,481,15146,81,14,40639,Phone,Inquiry,7
433,909,15448,50,1,40720,Online,Feedback,5
434,846,40167,26,37,40965,Online,Complaint,7
435,731,33799,80,25,14576,Phone,Feedback,3
436,84,10866,18,31,21517,Online,Complaint,5
437,397,37335,57,2,385,In Person,Feedback,9
438,921,37319,54,41,20857,In Person,Complaint,3
439,20,36390,21,44,24980,In Person,Feedback,4
440,21,30084,90,32,32996,In Person,Feedback,8
441,117,32063,21,20,33894,In Person,Feedback,9
442,113,24516,35,46,37867,Phone,Complaint,2
443,11,16574,83,39,1813,In Person,Complaint,1
444,916,36575,93,50,39245,Online,Feedback,10
445,807,40060,87,20,12784,Online,Inquiry,7
446,868,18745,30,26,18465,In Person,Complaint,6
447,82,29987,23,45,21436,Online,Complaint,9
448,576,6469,86,5,31519,In Person,Feedback,3
449,719,4590,39,11,31883,Online,Inquiry,3
450,761,37747,84,25,6414,Online,Complaint,6
451,858,30853,86,16,15855,Online,Inquiry,9
452,288,39096,70,4,4463,Online,Complaint,6
453,726,3180,13,33,6216,Phone,Inquiry,9
454,591,6701,69,50,3803,In Person,Complaint,5
455,236,29017,93,51,31806,Phone,Feedback,6
456,456,29079,14,15,40349,Phone,Feedback,9
457,557,10948,89,43,26345,Online,Feedback,2
458,348,2733,1,29,12618,In Person,Feedback,5
459,938,33221,39,3,3978,Online,Inquiry,5
460,497,32499,37,20,29207,Phone,Feedback,2
461,350,36603,89,29,1873,In Person,Inquiry,5
462,460,32651,55,4,39621,Online,Feedback,6
463,381,12193,51,33,12446,Phone,Inquiry,7
464,298,42358,67,47,36484,Phone,Complaint,9
465,938,25088,30,14,30484,Phone,Feedback,9
466,858,32697,91,7,39869,In Person,Complaint,8
467,863,26332,40,15,37670,Online,Complaint,2
468,511,42951,73,1,1775,In Person,Complaint,6
469,42,39048,3,28,4823,Phone,Feedback,10
470,785,28163,87,49,6673,In Person,Complaint,7
471,675,23042,57,52,7369,Phone,Inquiry,7
472,565,18824,38,20,44145,Phone,Feedback,3
473,729,37687,72,11,21090,Online,Feedback,10
474,739,5898,65,45,33231,Online,Complaint,3
475,364,14772,46,18,22027,Online,Feedback,4
476,578,9754,30,32,28407,In Person,Inquiry,2
477,986,9257,59,3,22029,In Person,Inquiry,10
478,289,4899,65,40,31296,In Person,Inquiry,7
479,534,37309,26,20,45382,Phone,Feedback,9
480,920,26616,39,34,14810,Online,Feedback,6
481,763,11340,42,1,28334,Online,Inquiry,8
482,595,11405,30,20,7445,Phone,Inquiry,8
483,583,3938,65,28,31847,Phone,Feedback,5
484,725,38700,73,7,26985,Online,Inquiry,2
485,521,25008,70,8,2078,Phone,Inquiry,2
486,822,34515,47,8,35367,Online,Feedback,7
487,364,45150,53,25,29442,Online,Complaint,6
488,579,2866,93,36,9743,Online,Feedback,2
489,973,13977,96,37,39017,In Person,Inquiry,10
490,198,12751,65,46,45155,In Person,Inquiry,3
491,185,27356,89,36,48496,In Person,Inquiry,2
492,602,23519,31,33,1552,Phone,Feedback,8
493,13,35021,94,41,12735,Phone,Inquiry,2
494,886,40724,95,36,46414,Online,Feedback,3
495,931,3732,29,35,6405,Phone,Inquiry,10
496,897,8818,46,38,16119,Phone,Feedback,4
497,931,5732,45,20,18134,Online,Inquiry,3
498,375,7701,83,3,5077,In Person,Feedback,1
499,102,23301,52,27,42040,Online,Feedback,7
500,719,9928,84,20,38168,In Person,Inquiry,2
501,418,12484,86,46,40405,Online,Complaint,8
502,818,41504,92,37,15322,In Person,Feedback,3
503,55,27961,17,49,38377,Online,Feedback,2
504,145,9819,66,4,21515,Online,Feedback,9
505,798,36510,46,44,5625,Online,Complaint,4
506,468,5834,74,30,632,Phone,Feedback,1
507,395,30400,65,32,14973,In Person,Complaint,7
508,751,6673,43,18,14037,In Person,Feedback,5
509,57,23148,35,49,41782,Phone,Complaint,1
510,471,18451,88,51,44676,Phone,Feedback,5
511,799,38721,79,31,37897,In Person,Complaint,6
512,87,12730,73,46,15598,Phone,Inquiry,10
513,234,44909,92,51,15760,In Person,Inquiry,3
514,808,14429,61,51,24776,In Person,Feedback,9
515,90,33754,78,34,10688,In Person,Inquiry,10
516,967,970,14,36,3470,Phone,Inquiry,7
517,556,42256,36,45,22133,Online,Complaint,4
518,319,31057,30,29,5049,Phone,Complaint,8
519,36,33946,1,53,49972,Phone,Feedback,5
520,676,25452,8,44,23686,Online,Feedback,1
521,64,30711,37,42,6430,In Person,Inquiry,1
522,745,9250,58,15,7192,Online,Inquiry,4
523,146,29010,63,22,6291,Phone,Inquiry,4
524,795,42617,66,35,7707,Phone,Complaint,10
525,80,29668,14,1,16366,Online,Inquiry,6
526,88,42106,36,27,11627,Phone,Complaint,9
527,24,36801,13,14,43848,In Person,Inquiry,1
528,567,16969,16,53,36547,Online,Inquiry,8
529,910,14703,68,46,3566,Phone,Inquiry,2
530,207,15080,5,43,38802,Phone,Inquiry,1
531,953,34978,31,42,26716,Online,Inquiry,4
532,328,10556,0,9,48262,Online,Inquiry,2
533,122,21489,96,45,26849,Online,Complaint,4
534,29,22756,94,9,4364,Phone,Complaint,7
535,667,40061,6,38,32636,In Person,Complaint,2
536,652,40241,91,33,47091,In Person,Complaint,3
537,654,22617,34,10,3565,Online,Inquiry,3
538,566,35347,90,3,45077,Phone,Complaint,3
539,45,14986,80,8,28794,Phone,Complaint,2
540,855,34908,96,15,24538,Online,Feedback,6
541,689,15576,19,2,9659,In Person,Complaint,9
542,790,28726,93,51,18790,Phone,Complaint,9
543,814,8240,40,45,40304,Phone,Complaint,3
544,426,35708,22,32,22826,Phone,Complaint,8
545,557,12567,35,19,11367,Online,Complaint,4
546,788,23438,52,22,36095,In Person,Inquiry,5
547,354,8289,58,29,1742,Phone,Feedback,2
548,108,16034,21,20,39455,Phone,Complaint,4
549,966,25860,2,22,32709,Online,Inquiry,8
550,265,37952,45,22,33421,In Person,Inquiry,10
551,47,9868,30,2,20255,Online,Complaint,5
552,819,37101,71,9,36148,Online,Inquiry,8
553,495,40135,51,39,10664,Phone,Inquiry,9
554,237,11661,99,11,5576,Online,Complaint,7
555,72,35902,29,38,4746,Phone,Inquiry,4
